full_name,q,e,i,w,om
"    65 Cybele",3.041098299793671,.1120460171667702,3.564035589294996,102.8303094043522,155.6184006106151
"    76 Freia",2.847459923968404,.1660108345920056,2.121335009064183,252.2670693591987,204.3009015777527
"    87 Sylvia",3.156832729506696,.09340361795303077,10.87598388114997,263.5897222057021,73.04064564836101
"   107 Camilla",3.263324405342257,.06510884804542941,10.00145377994323,306.3969968637704,172.5826437698271
"   108 Hecuba",3.057332416249037,.05564043053842509,4.220237427878091,206.0038771670127,349.9785250876486
"   121 Hermione",3.012122019819076,.1298387136186397,7.584409652818819,296.8740192821004,73.1127249896473
"   122 Gerda",3.122476348428907,.03126638887128721,1.640572931269332,321.4880705434126,178.1228414532077
"   153 Hilda",3.420813595297199,.140283370355769,7.824733948575581,39.05006068397871,228.1318884450834
"   168 Sibylla",3.123959396375361,.07406997855732478,4.669318303167056,175.3661228968884,205.960016806984
"   190 Ismene",3.322220903490063,.1667079239858134,6.176684908644778,271.1249656470371,175.4558532372149
"   225 Henrietta",2.497914814853267,.2636020144589659,20.85486075386599,103.745280988074,197.0489041951382
"   229 Adelinda",2.948929400846434,.1391252998827244,2.076566303679936,310.3199443848357,28.01301985820326
"   260 Huberta",3.073817379005515,.1101385922257928,6.413075089119474,179.7699541945291,164.96493589593
"   279 Thule",4.091199107280987,.04251972403060249,2.334383543051624,24.48352880617809,71.92004100143009
"   300 Geraldina",3.019485283705996,.05744390297354898,.7319049889433905,324.7204629776897,42.64750150321444
"   319 Leona",2.66686037304279,.2165423275086029,10.56291545961267,228.0960411327617,184.9363689221019
"   325 Heidelberga",2.728930598130928,.1535897354660988,8.548030150500333,69.49691834344337,344.3566923027577
"   334 Chicago (1892 L)",3.79612195535946,.02376148927566605,4.643531633746236,149.8270939205595,130.1687500554373
"   361 Bononia (1893 P)",3.120713405777929,.2120207003136531,12.61690744345442,68.54015473409393,18.85457349341529
"   381 Myrrha (1894 AS)",2.934243897789131,.09014826156139401,12.55828184606266,143.6004378716482,125.0757257702316
"   401 Ottilia (1895 BT)",3.236684696946687,.03177494675034721,5.964241786823024,299.4668085374343,36.05899568026366
"   414 Liriope (1896 CN)",3.253192761516939,.07271713909261902,9.55699557159106,318.7155217333977,110.570825215364
"   420 Bertholda (1896 CY)",3.312260514930347,.02960704420485337,6.689402856490957,235.4154860154766,242.6418926167007
"   436 Patricia (1898 DT)",2.98147523295445,.06885813666090705,18.50358061409682,41.05808542842276,351.3143450405877
"   466 Tisiphone (1901 FX)",3.045296333000154,.09222752206457513,19.11641317673745,250.6076698169499,290.8498483794099
"   483 Seppina (1902 HU)",3.248529969572088,.05119724665634746,18.75277418571427,162.1215382950989,173.9311578407028
"   499 Venusia (1902 KX)",3.140962019642464,.2160912837731358,2.092649003562668,174.8139542109845,256.2444085839678
"   522 Helga (1904 NC)",3.311690842996881,.08634520732640215,4.420097924564435,248.2494555418349,116.5705604677217
"   528 Rezia (1904 NS)",3.322348193494598,.02117100094244915,12.70834189415821,349.7645528376879,49.53435077571738
"   536 Merapi (1904 OF)",3.195856740588683,.08664397209804522,19.42299945867041,295.4739701920284,59.21685060176519
"   545 Messalina (1904 OY)",2.658745100352248,.1698581174260433,11.20435194024047,330.9537809178847,333.6004744406424
"   566 Stereoskopia (1905 QO)",2.973148806927119,.1197647942259279,4.894563059975833,299.5518386084723,79.55334485797415
"   570 Kythera (1905 QX)",3.013490390349896,.1183470692248148,1.817015851651538,161.3980060864659,223.341390965741
"   580 Selene (1905 SE)",2.947063076482931,.08665033613225465,3.671281610538022,338.5380874314791,98.91286492106973
"   581 Tauntonia (1905 SH)",3.102027425764456,.03398073760411389,21.89764649050915,26.28158640118533,102.452361071127
"   588 Achilles (1906 TG)",4.442979779176227,.147121532564098,10.31972427667486,133.3085095508762,316.5360491326559
"   595 Polyxena (1906 TZ)",3.003935261152495,.06352502021490551,17.82763003069348,279.5224007507242,23.88236119542225
"   617 Patroclus (1906 VY)",4.489910153690426,.1389665604832871,22.0517763307761,307.8660818490041,44.34841429339916
"   624 Hektor (1907 XM)",5.142298396836227,.02279654739593592,18.15769721789642,184.2438818326409,342.7910348097215
"   643 Scheherezade (1907 ZZ)",3.170338184631248,.05690148513359237,13.76833080694908,230.2339133349627,252.1757565507151
"   645 Agrippina (1907 AG)",2.768156002993378,.1415198229656092,7.027795817929714,85.97809635643343,359.6930519192977
"   648 Pippa (1907 AE)",2.56230995773069,.2001174456810401,9.880833557922211,179.9746306265245,290.8475510895981
"   659 Nestor (1908 CS)",4.557910120778677,.1174476492952609,4.522629504273476,343.462148807114,350.7391113921794
"   692 Hippodamia (1901 HD)",2.814621872738694,.1687862930413292,26.07342381915149,53.98536471875835,63.46972589374952
"   713 Luscinia (1911 LS)",2.869466253058577,.1554046661597569,10.34409464669661,138.1406178982236,217.4852833102351
"   721 Tabora (1911 MZ)",3.13843716608187,.1169330412090622,8.320081582955712,352.5722828495718,38.40031949260434
"   733 Mocia (1912 PF)",3.201129882364481,.05852347829046924,20.28505167461133,189.7202697927454,340.9838185161099
"   745 Mauritia (1913 QX)",3.133184790130665,.0400083864124067,13.32357410253763,26.74704709895067,125.6811498476515
"   748 Simeisa (1913 RD)",3.204534050046051,.1881429191443945,2.258712308487003,177.7271209311378,265.4647673132798
"   764 Gedania (1913 SU)",2.899975622571942,.09413063535295756,10.01753401334194,156.6451526772767,258.9377655900499
"   777 Gutemberga (1914 TZ)",2.874505693366817,.1097353988425781,12.94199482058365,264.4378567509146,283.2705225229354
